color1,color2,Congruent,Response Time,Accuracy,Trial,Block,ID
red,yellow,0,5,4,1,1894,1
yellow,green,0,2,2,1,1431,1
red,red,1,8,1,3,2000,1
blue,blue,1,15,3,1,1838,1
yellow,blue,0,3,4,2,1263,1
green,red,0,12,1,1,1430,1
green,red,0,12,1,1,1347,1
red,green,0,6,2,1,1093,1
yellow,yellow,1,1,4,1,1874,1
blue,green,0,14,1,3,2000,1
blue,yellow,0,13,4,1,991,1
red,red,1,8,1,1,1382,1
green,green,1,10,2,1,1300,1
blue,red,0,16,1,1,1296,1
yellow,green,0,2,2,1,1053,1
blue,green,0,14,2,1,1196,1
red,red,1,8,1,1,1187,1
green,blue,0,11,3,1,968,1
blue,yellow,0,13,4,1,958,1
red,blue,0,7,3,1,1014,1
blue,red,0,16,1,1,954,1
yellow,blue,0,3,3,1,1065,1
blue,blue,1,15,3,1,1317,1
green,red,0,12,1,1,1043,1
green,blue,0,11,3,1,978,1
red,green,0,6,2,1,982,1
yellow,blue,0,3,3,1,1383,1
yellow,yellow,1,1,4,1,1089,1
blue,yellow,0,13,3,2,1364,1
yellow,red,0,4,1,1,957,1
yellow,red,0,4,1,1,1122,1
blue,blue,1,15,3,1,1151,1
red,yellow,0,5,4,1,1014,1
red,green,0,6,2,1,836,1
blue,red,0,16,1,1,951,1
yellow,red,0,4,1,1,1325,1
green,green,1,10,2,1,860,1
green,blue,0,11,3,1,1276,1
green,green,1,10,2,1,873,1
red,yellow,0,5,4,1,1087,1